Property Type,State,City, Cap Rate 
Office,AK,, 15.00 
Office,AL,, 9.25 
Office,AR,, 9.00 
Office,AZ,Phoenix, 6.75 
Office,AZ,, 7.75 
Office,CA,Oakland, 5.50 
Office,CA,San Francisco, 5.00 
Office,CA,San Jose, 7.00 
Office,CA,Los Angeles, 5.50 
Office,CA,Orange County, 5.50 
Office,CA,San Diego, 6.25 
Office,CA,Sacramento, 7.00 
Office,CA,, 7.00 
Office,CO,Denver, 5.75 
Office,CO,, 6.75 
Office,CT,Fairfield County, 7.50 
Office,CT,, 8.50 
Office,DC,Washington, 5.75 
Office,DC,, 6.75 
Office,DE,, 6.75 
Office,FL,Jacksonville, 7.25 
Office,FL,Miami, 6.25 
Office,FL,Orlando, 6.75 
Office,FL,, 7.25 
Office,FL,Tampa, 7.00 
Office,FL,, 7.25 
Office,GA,Atlanta, 6.50 
Office,GA,, 7.50 
Office,HI,, 12.00 
Office,IA,, 9.75 
Office,ID,, 8.25 
Office,IL,Chicago, 6.75 
Office,IL,, 7.75 
Office,IN,Indianapolis, 8.50 
Office,IN,, 9.50 
Office,KS,, 9.50 
Office,KY,, 9.00 
Office,LA,, 7.50 
Office,MA,Boston, 5.25 
Office,MA,, 6.25 
Office,MD,Baltimore, 8.50 
Office,MD,, 9.50 
Office,ME,, 9.50 
Office,MI,Detroit, 9.25 
Office,MI,, 9.50 
Office,MN,Minneapolis, 6.75 
Office,MN,St. Paul, 6.75 
Office,MN,, 7.75 
Office,MO,Kansas City, 7.75 
Office,MO,St. Louise, 9.75 
Office,MO,, 9.75 
Office,MS,, 9.00 
Office,MT,, 9.00 
Office,NC,Charlotte, 7.25 
Office,NC,Raleigh-Durham, 6.50 
Office,NC,, 7.25 
Office,ND,, 8.00 
Office,NE,, 9.50 
Office,NH,, 7.50 
Office,NJ,, 7.00 
Office,NM,Albuquerque, 9.00 
Office,NM,, 10.00 
Office,NV,Las Vegas, 7.50 
Office,NV,, 8.50 
Office,NY,New York, 4.75 
Office,NY,, 5.75 
Office,OH,Cincinnati, 8.50 
Office,OH,Cleveland, 8.75 
Office,OH,Columbus, 8.50 
Office,OH,, 8.75 
Office,OK,Oklahoma City, 8.00 
Office,OK,, 9.00 
Office,OR,Portland, 5.25 
Office,OR,, 6.25 
Office,PA,Philadelphia, 6.75 
Office,PA,Pittsburgh, 7.25 
Office,PA,, 7.25 
Office,RI,, 7.00 
Office,SC,, 7.00 
Office,SD,, 7.50 
Office,TN,Memphis, 9.00 
Office,TN,Nashville, 6.50 
Office,TN,, 9.00 
Office,TX,Austin, 6.00 
Office,TX,Houston, 6.75 
Office,TX,Dallas, 7.25 
Office,TX,Ft. Worth, 7.25 
Office,TX,San Antonio, 7.50 
Office,TX,, 7.50 
Office,UT,Salt Lake City, 6.25 
Office,UT,, 7.25 
Office,VA,, 9.00 
Office,VT,, 7.50 
Office,WA,Seattle, 5.25 
Office,WA,, 6.25 
Office,WI,, 10.00 
Office,WV,, 9.50 
Office,WY,, 10.00 
Industrial,AK,, 10.00 
Industrial,AL,, 9.00 
Industrial,AZ,Phoenix, 5.25 
Industrial,AZ,, 6.25 
Industrial,AR,, 8.00 
Industrial,CA,Oakland, 4.25 
Industrial,CA,San Francisco, 4.25 
Industrial,CA,San Jose, 4.25 
Industrial,CA,Inland Empire, 4.25 
Industrial,CA,Los Angeles, 4.25 
Industrial,CA,Orange County, 4.25 
Industrial,CA,San Diego, 5.00 
Industrial,CA,Sacramento, 5.50 
Industrial,CA,, 5.00 
Industrial,CO,Denver, 4.75 
Industrial,CO,, 5.75 
Industrial,CT,Fairfield County, 6.25 
Industrial,CT,, 7.25 
Industrial,DC,Washington, 4.65 
Industrial,DC,, 5.50 
Industrial,DE,, 6.75 
Industrial,FL,Orlando, 5.25 
Industrial,FL,Miami, 4.75 
Industrial,FL,Jacksonville, 5.75 
Industrial,FL,Tampa, 5.75 
Industrial,FL,, 5.75 
Industrial,GA,Savannah, 5.50 
Industrial,GA,Atlanta, 5.00 
Industrial,GA,, 6.00 
Industrial,HI,Honolulu, 6.00 
Industrial,HI,, 7.00 
Industrial,ID,, 6.75 
Industrial,IL,Chicago, 5.00 
Industrial,IL,, 6.00 
Industrial,IN,Indianapolis, 5.25 
Industrial,IN,, 6.25 
Industrial,IA,, 7.50 
Industrial,KS,, 7.00 
Industrial,KY,Louisville, 5.75 
Industrial,KY,, 6.75 
Industrial,LA,, 6.00 
Industrial,MA,, 5.00 
Industrial,MD,Baltimore, 4.65 
Industrial,MD,, 5.65 
Industrial,ME,, 7.50 
Industrial,MI,Detroit, 6.25 
Industrial,MI,, 7.25 
Industrial,MN,Minneapolis, 5.50 
Industrial,MN,St. Paul, 5.50 
Industrial,MN,, 6.00 
Industrial,MS,, 7.50 
Industrial,MO,Kansas City, 6.00 
Industrial,MO,St. Louise, 6.00 
Industrial,MO,, 6.00 
Industrial,MT,, 7.00 
Industrial,NC,Charlotte, 5.25 
Industrial,NC,Raleigh-Durham, 6.00 
Industrial,NC,, 6.50 
Industrial,NE,, 6.75 
Industrial,ND,, 6.75 
Industrial,NH,, 7.00 
Industrial,NJ,North Jersey, 4.00 
