Rank,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016,Population Estimate (as of July 1) - 2017,Population Estimate (as of July 1) - 2018
1,"New York city, New York",8175133,8174988,8190355,8272963,8348032,8398739,8437387,8468181,8475976,8438271,8398748
2,"Los Angeles city, California",3792621,3792820,3795370,3821136,3852532,3883916,3913260,3943215,3969262,3982002,3990456
3,"Chicago city, Illinois",2695598,2695624,2697529,2708209,2719735,2726772,2728524,2726215,2718946,2713067,2705994
4,"Houston city, Texas",2099451,2093615,2098446,2124143,2160086,2198280,2240982,2286630,2309752,2317445,2325502
5,"Phoenix city, Arizona",1445632,1446914,1449295,1470052,1499839,1527336,1556552,1584927,1613581,1634984,1660272
6,"Philadelphia city, Pennsylvania",1526006,1526009,1528293,1540322,1551797,1558371,1565604,1571258,1576390,1580221,1584138
7,"San Antonio city, Texas",1327407,1326768,1332883,1357536,1383608,1408787,1435839,1464531,1488512,1511409,1532233
8,"San Diego city, California",1307402,1301949,1305970,1319697,1337149,1355951,1376725,1388674,1403865,1414427,1425976
9,"Dallas city, Texas",1197816,1197653,1200372,1218320,1242344,1259239,1279679,1301794,1324477,1343087,1345047
10,"San Jose city, California",945942,952060,954492,969948,983322,1001253,1014418,1026099,1030359,1032136,1030119
11,"Austin city, Texas",790390,802078,806423,828694,854841,875463,901734,921545,939768,951750,964254
12,"Jacksonville city, Florida",821784,821764,823123,829554,836997,842762,852560,865835,880495,891736,903889
13,"Fort Worth city, Texas",741206,744852,748481,764034,781059,796175,815135,835950,856902,875456,895008
14,"Columbus city, Ohio",787033,789011,790935,800522,812711,827824,841740,855012,866918,881763,892533
15,"San Francisco city, California",805235,805184,805550,815677,829027,839841,851116,863836,872795,879166,883305
16,"Charlotte city, North Carolina",731424,735692,738534,754840,773336,792183,807589,825733,842937,859347,872498
17,"Indianapolis city (balance), Indiana",820445,820436,821555,827604,835379,844081,849634,853238,857488,861890,867125
18,"Seattle city, Washington",608660,608666,610639,623050,636495,654224,670925,688156,710510,729601,744955
19,"Denver city, Colorado",600158,599815,603354,620513,635277,649513,664870,683665,696618,705439,716492
20,"Washington city, District of Columbia",601723,601766,605085,619602,634725,650431,662513,675254,686575,695691,702455
