,,STABILIZED  PROPERTY  ACQUISITIONS   ,,,,,,, VALUE-ADD  PROPERTY  ACQUISITIONS,,,,
,,,CAP RATE,,,SPREAD  OVER  10-YRTREASURY  RATE,,,EXPECTED  RETURN  ON  COST,,,SPREAD  OVER  10-YRTREASURY  RATE,
PROPERTY  TYPE,SEGMENT,CLASS,H2 2019 (%),H1 2019 (%),Change  (bps),H2 2019 (%) EOP,H1 2019 (%) EOP,,H2 2019 (%),H1 2019 (%),Change  (bps),H2 2019 (%) EOP,H1 2019 (%) EOP
,,,,,,1.92,2.00,,,,,1 92,2.00
OFFICE,CBD,ALL,6.65,6.67,-3,473,467,,8.37,8.43,-6,645,643
OFFICE,CBD,AA,5.21,5.24,-3,329,324,,,,,,
OFFICE,CBD,A,5.99,6.05,-6,407,405,,7.36,7.41,-5,544,541
OFFICE,CBD,B,6.89,6.91,-2,497,491,,8.18,8.23,-5,626,623
OFFICE,CBD,C,8.66,8.66,0,674,666,,9.84,9.91,-7,792,791
OFFICE,SUBURBAN,ALL,7.80,7.91,-11,588,591,,9.47,9.56,-9,755,756
OFFICE,SUBURBAN,AA,6.24,6.34,-10,432,434,,,,,,
OFFICE,SUBURBAN,A,7.00,7.11,-10,508,511,,8.25,8.29,-4,633,629
OFFICE,SUBURBAN,B,8.21,8.31,-10,629,631,,9.42,9.53,-11,750,753
OFFICE,SUBURBAN,C,9.62,9.75,-13,770,775,,10.81,10.92,-11,889,892
INDUSTRIAL,ALL,ALL,6.13,6.27,-13,421,427,,7.18,7.36,-17,526,536
INDUSTRIAL,ALL,A,4.89,5.00,-10,297,300,,5.80,5.97,-17,388,397
INDUSTRIAL,ALL,B,5.80,5.86,-6,388,386,,6.80,6.95,-15,488,495
INDUSTRIAL,ALL,C,7.87,7.99,-12,594,399,,9.13,9.20,-7,721,720
RETAIL,NEIGHBORHOOD/  COMMUNITY,ALL,7.47,7.47,0,555,547,,9.46,9.45,1,754,745
RETAIL,NEIGHBORHOOD/  COMMUNITY,A,5.94,5.94,0,402,394,,,,,,
RETAIL,NEIGHBORHOOD/  COMMUNITY,B,7.37,7.38,-1,545,538,,8.68,8.67,1,676,667
RETAIL,NEIGHBORHOOD/  COMMUNITY,C,9.19,9.18,1,727,718,,10.29,10.27,2,837,827
RETAIL,POWER,ALL,8.54,8.46,8,662,646,,10.43,10.25,18,851,825
RETAIL,POWER,A,7.21,7.18,3,529,518,,,,,,
RETAIL,POWER,B,8.43,8.35,8,651,635,,9.57,9.49,8,765,749
RETAIL,POWER,C,9.98,9.86,12,806,786,,11.32,11.04,28,940,904
RETAIL,HIGH STREET,A,4.78,4.76,2,286,276,,,,,,
MULTIFAMI LY,INFILL,ALL,5.11,5.19,-9,319,319,,5.90,5.94,-4,398,394
MULTIFAMI LY,INFILL,A,4.64,4.69,-5,272,269,,5.40,5.37,3,348,337
MULTIFAMI LY,INFILL,B,5.02,5.11,-8,310,311,,1.84,5.86,-2,392,386
MULTIFAMI LY,INFILL,C,5.68,5.80,-12,376,380,,6.47,6.59,-12,435,439
MULTIFAMI LY,SUBURBAN,ALL,5.37,5.48,-11,345,348,,6.10,6.19,-9,418,419
MULTIFAMI LY,SUBURBAN,A,4.89,4.99,-10,297,299,,5.56,5.62,-6,364,362
MULTIFAMI LY,SUBURBAN,B,5.26,5.37,-10,334,337,,5.95,6.04,-9,403,404
MULTIFAMI LY,SUBURBAN,C,5.96,6.10,-14,404,410,,6.79,6.91,-12,487,491
HOTELS,CBD,ALL,7.99,8.01,-1,607,601,,,,,,
HOTELS,CBD,LUXURY,7.01,7.05,-4,509,505,,,,,,
HOTELS,CBD,FULLSERVICE,7.76,7.75,0,584,575,,,,,,
HOTELS,CBD,SELECT SERVICE,8.00,8.04,-3,608,604,,,,,,
HOTELS,CBD,ECONOMY,9.22,9.20,1,730,720,,,,,,
HOTELS,SUBURBAN,ALL,8.55,8.55,0,663,655,,,,,,
HOTELS,SUBURBAN,LUXURY,7.61,7.61,0,569,561,,,,,,
HOTELS,SUBURBAN,FULL SERVICE,8.28,8.26,2,636,626,,,,,,
HOTELS,SUBURBAN,SELECT SERVICE,8.50,8.53,-2,658,653,,,,,,
HOTELS,SUBURBAN,ECONOMY,9.76,9.74,2,784,774,,,,,,
